Altersgruppe, Meldedatum, difference, trend, value
35-59, 2020-03-05, , , 0.6
35-59, 2020-03-06, , , 0.9
35-59, 2020-03-07, , , 1.2
35-59, 2020-03-08, , , 1.4
35-59, 2020-03-09, , , 1.6
35-59, 2020-03-10, , , 2.2
35-59, 2020-03-11, , , 3.1
35-59, 2020-03-12, 3.5, 0.0585, 4.2
35-59, 2020-03-13, 5, 0.0828, 5.9
35-59, 2020-03-14, 7.2, 0.1195, 8.5
35-59, 2020-03-15, 9.3, 0.154, 10.7
35-59, 2020-03-16, 10.8, 0.1789, 12.4
35-59, 2020-03-17, 13.4, 0.2209, 15.6
35-59, 2020-03-18, 16.9, 0.2795, 20
35-59, 2020-03-19, 21.1, 0.3483, 25.2
35-59, 2020-03-20, 24.5, 0.4045, 30.4
35-59, 2020-03-21, 26, 0.4294, 34.4
35-59, 2020-03-22, 26.6, 0.4391, 37.3
35-59, 2020-03-23, 26.8, 0.4424, 39.2
35-59, 2020-03-24, 25.9, 0.4277, 41.4
35-59, 2020-03-25, 23.6, 0.3903, 43.6
35-59, 2020-03-26, 21.3, 0.3518, 46.5
35-59, 2020-03-27, 18, 0.2981, 48.4
35-59, 2020-03-28, 16.1, 0.2657, 50.5
35-59, 2020-03-29, 14.5, 0.2398, 51.8
35-59, 2020-03-30, 13.4, 0.2222, 52.6
35-59, 2020-03-31, 11.1, 0.1839, 52.6
35-59, 2020-04-01, 9.8, 0.1623, 53.5
35-59, 2020-04-02, 6.3, 0.1034, 52.8
35-59, 2020-04-03, 4.3, 0.071, 52.7
35-59, 2020-04-04, 1.6, 0.027, 52.1
35-59, 2020-04-05, -0.3, -0.0041, 51.5
35-59, 2020-04-06, -2.2, -0.0323, 50.4
35-59, 2020-04-07, -3.4, -0.0496, 49.2
35-59, 2020-04-08, -5.7, -0.0841, 47.8
35-59, 2020-04-09, -6.5, -0.0952, 46.3
35-59, 2020-04-10, -8.9, -0.1317, 43.8
35-59, 2020-04-11, -12.3, -0.1813, 39.8
35-59, 2020-04-12, -14.2, -0.2088, 37.4
35-59, 2020-04-13, -14.3, -0.2104, 36.1
35-59, 2020-04-14, -16.1, -0.2368, 33.1
35-59, 2020-04-15, -18.9, -0.2785, 28.9
35-59, 2020-04-16, -20.5, -0.3015, 25.9
35-59, 2020-04-17, -19.9, -0.293, 23.9
35-59, 2020-04-18, -16.5, -0.2427, 23.4
35-59, 2020-04-19, -15, -0.2214, 22.4
35-59, 2020-04-20, -14.4, -0.2118, 21.8
35-59, 2020-04-21, -11, -0.1618, 22.1
35-59, 2020-04-22, -7.1, -0.1042, 21.8
35-59, 2020-04-23, -5.3, -0.078, 20.6
35-59, 2020-04-24, -5.5, -0.0814, 18.4
35-59, 2020-04-25, -6.6, -0.0978, 16.7
35-59, 2020-04-26, -6.7, -0.0988, 15.6
35-59, 2020-04-27, -6.9, -0.1023, 14.8
35-59, 2020-04-28, -8.1, -0.12, 14
35-59, 2020-04-29, -8.6, -0.127, 13.2
35-59, 2020-04-30, -8.8, -0.1293, 11.8
35-59, 2020-05-01, -7.3, -0.1071, 11.1
35-59, 2020-05-02, -6.7, -0.0993, 10
35-59, 2020-05-03, -6.4, -0.0949, 9.2
35-59, 2020-05-04, -5.9, -0.0869, 8.9
35-59, 2020-05-05, -5.5, -0.0808, 8.5
35-59, 2020-05-06, -5.1, -0.0745, 8.1
35-59, 2020-05-07, -3.9, -0.0569, 8
35-59, 2020-05-08, -3.4, -0.0506, 7.7
35-59, 2020-05-09, -2.1, -0.031, 7.9
35-59, 2020-05-10, -1.1, -0.0167, 8.1
35-59, 2020-05-11, -1, -0.0144, 8
35-59, 2020-05-12, -0.5, -0.0077, 8
35-59, 2020-05-13, -0.4, -0.006, 7.7
35-59, 2020-05-14, -0.6, -0.0085, 7.4
35-59, 2020-05-15, -0.7, -0.0107, 7
35-59, 2020-05-16, -1.3, -0.0195, 6.6
35-59, 2020-05-17, -1.9, -0.0276, 6.2
35-59, 2020-05-18, -1.8, -0.0269, 6.1
35-59, 2020-05-19, -2.1, -0.0305, 5.9
35-59, 2020-05-20, -2, -0.0293, 5.7
35-59, 2020-05-21, -1.8, -0.0265, 5.6
35-59, 2020-05-22, -2, -0.0302, 4.9
35-59, 2020-05-23, -1.9, -0.0275, 4.7
35-59, 2020-05-24, -1.6, -0.0241, 4.6
35-59, 2020-05-25, -1.7, -0.0251, 4.4
35-59, 2020-05-26, -1.6, -0.0242, 4.3
35-59, 2020-05-27, -1.5, -0.0226, 4.2
35-59, 2020-05-28, -1.7, -0.0244, 3.9
35-59, 2020-05-29, -0.9, -0.0127, 4.1
35-59, 2020-05-30, -0.7, -0.0102, 4
35-59, 2020-05-31, -0.5, -0.0078, 4
