Altersgruppe, Week, difference, trend, value
60-79, 2020-12, , , 11.1
60-79, 2020-13, 3.5, 1, 14.6
60-79, 2020-14, -1.8, -0.5, 12.8
60-79, 2020-15, -3.7, -1.0278, 9.1
60-79, 2020-16, -2.2, -0.6111, 6.9
60-79, 2020-17, -2.2, -0.6111, 4.7
60-79, 2020-18, -1.3, -0.3611, 3.4
60-79, 2020-19, -1.3, -0.3611, 2.1
60-79, 2020-20, -0.8, -0.2222, 1.3
60-79, 2020-21, -0.2, -0.0556, 1.1
60-79, 2020-22, -0.3, -0.0833, 0.8
60-79, 2020-23, -0.2, -0.0556, 0.6
60-79, 2020-24, -0.2, -0.0556, 0.4
60-79, 2020-25, , , 0.4
60-79, 2020-26, , , 0.4
60-79, 2020-27, -0.1, -0.0278, 0.3
60-79, 2020-28, , , 0.3
60-79, 2020-29, 0.1, 0.0286, 0.4
60-79, 2020-30, , , 0.4
60-79, 2020-31, 0.1, 0.0286, 0.5
60-79, 2020-32, , , 0.5
60-79, 2020-33, -0.1, -0.0278, 0.4
60-79, 2020-34, 0.1, 0.0286, 0.5
60-79, 2020-35, -0.1, -0.0278, 0.4
60-79, 2020-36, 0.1, 0.0286, 0.5
60-79, 2020-37, 0.1, 0.0286, 0.6
60-79, 2020-38, 0.2, 0.0571, 0.8
60-79, 2020-39, , , 0.8
60-79, 2020-40, 0.4, 0.1143, 1.2
60-79, 2020-41, 0.7, 0.2, 1.9
60-79, 2020-42, 1.3, 0.3714, 3.2
60-79, 2020-43, 2, 0.5714, 5.2
60-79, 2020-44, 1.9, 0.5429, 7.1
60-79, 2020-45, 0.8, 0.2286, 7.9
60-79, 2020-46, 1.2, 0.3429, 9.1
60-79, 2020-47, 0.4, 0.1143, 9.5
60-79, 2020-48, 0.1, 0.0286, 9.6
60-79, 2020-49, 1, 0.2857, 10.6
60-79, 2020-50, 1.3, 0.3714, 11.9
60-79, 2020-51, 0.9, 0.2571, 12.8
60-79, 2020-52, 3.5, 1, 16.3
60-79, 2020-53, 0.8, 0.2286, 17.1
60-79, 2021-01, -3.6, -1, 13.5
60-79, 2021-02, -3, -0.8333, 10.5
60-79, 2021-03, -0.8, -0.2222, 9.7
60-79, 2021-04, -0.8, -0.2222, 8.9
60-79, 2021-05, -1.6, -0.4444, 7.3
60-79, 2021-06, -1, -0.2778, 6.3
60-79, 2021-07, -0.5, -0.1389, 5.8
60-79, 2021-08, , , 5.8
60-79, 2021-09, -0.4, -0.1111, 5.4
60-79, 2021-10, 0.4, 0.1143, 5.8
60-79, 2021-11, 0.9, 0.2571, 6.7
60-79, 2021-12, 1.4, 0.4, 8.1
60-79, 2021-13, 1.9, 0.5429, 10
60-79, 2021-14, 0.2, 0.0571, 10.2
60-79, 2021-15, -0.1, -0.0278, 10.1
60-79, 2021-16, 0.3, 0.0857, 10.4
60-79, 2021-17, -0.7, -0.1944, 9.7
60-79, 2021-18, -1.1, -0.3056, 8.6
60-79, 2021-19, -1.3, -0.3611, 7.3
60-79, 2021-20, -2.2, -0.6111, 5.1
60-79, 2021-21, -1.7, -0.4722, 3.4
60-79, 2021-22, -1.2, -0.3333, 2.2
60-79, 2021-23, -0.7, -0.1944, 1.5
60-79, 2021-24, -0.7, -0.1944, 0.8
60-79, 2021-25, -0.2, -0.0556, 0.6
60-79, 2021-26, -0.1, -0.0278, 0.5
60-79, 2021-27, -0.1, -0.0278, 0.4
60-79, 2021-28, 0.1, 0.0286, 0.5
60-79, 2021-29, 0.1, 0.0286, 0.6
60-79, 2021-30, 0.3, 0.0857, 0.9
60-79, 2021-31, 0.1, 0.0286, 1
60-79, 2021-32, 0.4, 0.1143, 1.4
