Altersgruppe, Week, difference, trend, value
35-59, 2020-12, , , 8.6
35-59, 2020-13, 0.6, 0.2069, 9.2
35-59, 2020-14, -0.8, -0.2667, 8.4
35-59, 2020-15, -1.2, -0.4, 7.2
35-59, 2020-16, -1.3, -0.4333, 5.9
35-59, 2020-17, -1.9, -0.6333, 4
35-59, 2020-18, -1, -0.3333, 3
35-59, 2020-19, -1.1, -0.3667, 1.9
35-59, 2020-20, -0.4, -0.1333, 1.5
35-59, 2020-21, -0.2, -0.0667, 1.3
35-59, 2020-22, -0.4, -0.1333, 0.9
35-59, 2020-23, -0.1, -0.0333, 0.8
35-59, 2020-24, -0.1, -0.0333, 0.7
35-59, 2020-25, 0.3, 0.1034, 1
35-59, 2020-26, -0.3, -0.1, 0.7
35-59, 2020-27, -0.1, -0.0333, 0.6
35-59, 2020-28, , , 0.6
35-59, 2020-29, 0.1, 0.0345, 0.7
35-59, 2020-30, 0.1, 0.0345, 0.8
35-59, 2020-31, 0.1, 0.0345, 0.9
35-59, 2020-32, 0.1, 0.0345, 1
35-59, 2020-33, -0.1, -0.0333, 0.9
35-59, 2020-34, -0.1, -0.0333, 0.8
35-59, 2020-35, -0.1, -0.0333, 0.7
35-59, 2020-36, -0.1, -0.0333, 0.6
35-59, 2020-37, 0.2, 0.069, 0.8
35-59, 2020-38, 0.3, 0.1034, 1.1
35-59, 2020-39, , , 1.1
35-59, 2020-40, 0.4, 0.1379, 1.5
35-59, 2020-41, 0.7, 0.2414, 2.2
35-59, 2020-42, 1.5, 0.5172, 3.7
35-59, 2020-43, 2.3, 0.7931, 6
35-59, 2020-44, 1.5, 0.5172, 7.5
35-59, 2020-45, 0.5, 0.1724, 8
35-59, 2020-46, 1.1, 0.3793, 9.1
35-59, 2020-47, 0.4, 0.1379, 9.5
35-59, 2020-48, -0.5, -0.1667, 9
35-59, 2020-49, 0.9, 0.3103, 9.9
35-59, 2020-50, 1.3, 0.4483, 11.2
35-59, 2020-51, -0.9, -0.3, 10.3
35-59, 2020-52, 1.9, 0.6552, 12.2
35-59, 2020-53, 2.9, 1, 15.1
35-59, 2021-01, -2.8, -0.9333, 12.3
35-59, 2021-02, -3, -1, 9.3
35-59, 2021-03, -0.6, -0.2, 8.7
35-59, 2021-04, -0.9, -0.3, 7.8
35-59, 2021-05, -1.3, -0.4333, 6.5
35-59, 2021-06, -0.7, -0.2333, 5.8
35-59, 2021-07, -0.2, -0.0667, 5.6
35-59, 2021-08, 0.4, 0.1379, 6
35-59, 2021-09, 0.2, 0.069, 6.2
35-59, 2021-10, 0.9, 0.3103, 7.1
35-59, 2021-11, 1.5, 0.5172, 8.6
35-59, 2021-12, 1.3, 0.4483, 9.9
35-59, 2021-13, 2, 0.6897, 11.9
35-59, 2021-14, 1.5, 0.5172, 13.4
35-59, 2021-15, -0.7, -0.2333, 12.7
35-59, 2021-16, 0.7, 0.2414, 13.4
35-59, 2021-17, -1, -0.3333, 12.4
35-59, 2021-18, -1.3, -0.4333, 11.1
35-59, 2021-19, -1.2, -0.4, 9.9
35-59, 2021-20, -3, -1, 6.9
35-59, 2021-21, -1.8, -0.6, 5.1
35-59, 2021-22, -1.4, -0.4667, 3.7
35-59, 2021-23, -1, -0.3333, 2.7
35-59, 2021-24, -1, -0.3333, 1.7
35-59, 2021-25, -0.5, -0.1667, 1.2
35-59, 2021-26, -0.3, -0.1, 0.9
35-59, 2021-27, , , 0.9
35-59, 2021-28, 0.5, 0.1724, 1.4
35-59, 2021-29, 0.5, 0.1724, 1.9
35-59, 2021-30, 0.7, 0.2414, 2.6
35-59, 2021-31, 0.9, 0.3103, 3.5
35-59, 2021-32, 1.8, 0.6207, 5.3
