Altersgruppe, Week, difference, trend, value
5-14, 2020-12, , , 3
5-14, 2020-13, 2.8, 0.5091, 5.8
5-14, 2020-14, 1, 0.1818, 6.8
5-14, 2020-15, 0.3, 0.0545, 7.1
5-14, 2020-16, -1.1, -0.25, 6
5-14, 2020-17, -1.7, -0.3864, 4.3
5-14, 2020-18, -1.5, -0.3409, 2.8
5-14, 2020-19, -0.4, -0.0909, 2.4
5-14, 2020-20, -0.6, -0.1364, 1.8
5-14, 2020-21, -0.6, -0.1364, 1.2
5-14, 2020-22, 0.3, 0.0545, 1.5
5-14, 2020-23, -0.1, -0.0227, 1.4
5-14, 2020-24, , , 1.4
5-14, 2020-25, 0.2, 0.0364, 1.6
5-14, 2020-26, -1, -0.2273, 0.6
5-14, 2020-27, 0.1, 0.0182, 0.7
5-14, 2020-28, -0.2, -0.0455, 0.5
5-14, 2020-29, 0.1, 0.0182, 0.6
5-14, 2020-30, 0.1, 0.0182, 0.7
5-14, 2020-31, 0.5, 0.0909, 1.2
5-14, 2020-32, 0.2, 0.0364, 1.4
5-14, 2020-33, -0.1, -0.0227, 1.3
5-14, 2020-34, -0.4, -0.0909, 0.9
5-14, 2020-35, -0.2, -0.0455, 0.7
5-14, 2020-36, , , 0.7
5-14, 2020-37, 0.2, 0.0364, 0.9
5-14, 2020-38, 0.2, 0.0364, 1.1
5-14, 2020-39, -0.1, -0.0227, 1
5-14, 2020-40, 0.3, 0.0545, 1.3
5-14, 2020-41, 0.6, 0.1091, 1.9
5-14, 2020-42, 1, 0.1818, 2.9
5-14, 2020-43, 2.2, 0.4, 5.1
5-14, 2020-44, 1.7, 0.3091, 6.8
5-14, 2020-45, 0.5, 0.0909, 7.3
5-14, 2020-46, 0.8, 0.1455, 8.1
5-14, 2020-47, -0.3, -0.0682, 7.8
5-14, 2020-48, -0.2, -0.0455, 7.6
5-14, 2020-49, 0.9, 0.1636, 8.5
5-14, 2020-50, 0.8, 0.1455, 9.3
5-14, 2020-51, -0.4, -0.0909, 8.9
5-14, 2020-52, 1, 0.1818, 9.9
5-14, 2020-53, 5.5, 1, 15.4
5-14, 2021-01, -0.4, -0.0909, 15
5-14, 2021-02, -2.2, -0.5, 12.8
5-14, 2021-03, -0.5, -0.1136, 12.3
5-14, 2021-04, -1.6, -0.3636, 10.7
5-14, 2021-05, -0.8, -0.1818, 9.9
5-14, 2021-06, -0.4, -0.0909, 9.5
5-14, 2021-07, , , 9.5
5-14, 2021-08, 0.4, 0.0727, 9.9
5-14, 2021-09, -0.3, -0.0682, 9.6
5-14, 2021-10, -1.2, -0.2727, 8.4
5-14, 2021-11, -0.1, -0.0227, 8.3
5-14, 2021-12, 1.4, 0.2545, 9.7
5-14, 2021-13, 1.8, 0.3273, 11.5
5-14, 2021-14, 5, 0.9091, 16.5
5-14, 2021-15, 2.6, 0.4727, 19.1
5-14, 2021-16, -0.1, -0.0227, 19
5-14, 2021-17, -2.6, -0.5909, 16.4
5-14, 2021-18, -0.2, -0.0455, 16.2
5-14, 2021-19, -2.4, -0.5455, 13.8
5-14, 2021-20, -4.4, -1, 9.4
5-14, 2021-21, -1.6, -0.3636, 7.8
5-14, 2021-22, -0.8, -0.1818, 7
5-14, 2021-23, -2.1, -0.4773, 4.9
5-14, 2021-24, -2, -0.4545, 2.9
5-14, 2021-25, -1.1, -0.25, 1.8
5-14, 2021-26, -0.7, -0.1591, 1.1
5-14, 2021-27, 0.1, 0.0182, 1.2
5-14, 2021-28, 0.8, 0.1455, 2
5-14, 2021-29, 1.1, 0.2, 3.1
5-14, 2021-30, 1.6, 0.2909, 4.7
5-14, 2021-31, 3, 0.5455, 7.7
5-14, 2021-32, 3.4, 0.6182, 11.1
