Altersgruppe, Meldedatum, difference, trend, value
0-4, 2020-03-05, , , 
0-4, 2020-03-06, , , 
0-4, 2020-03-07, , , 133.3
0-4, 2020-03-08, , , 133.3
0-4, 2020-03-09, , , 200
0-4, 2020-03-10, , , 300
0-4, 2020-03-11, , , 366.7
0-4, 2020-03-12, 566.7, 6.8358, 566.7
0-4, 2020-03-13, 137.5, 1.6587, 137.5
0-4, 2020-03-14, 52.4, 0.6319, 185.7
0-4, 2020-03-15, 223.8, 2.6998, 357.1
0-4, 2020-03-16, 111.1, 1.3403, 311.1
0-4, 2020-03-17, -50, -0.9878, 250
0-4, 2020-03-18, -66.7, -1.317, 300
0-4, 2020-03-19, -261.7, -5.1694, 305
0-4, 2020-03-20, 309.9, 3.738, 447.4
0-4, 2020-03-21, 349.3, 4.2135, 535
0-4, 2020-03-22, -13.4, -0.2646, 343.8
0-4, 2020-03-23, 5.1, 0.0616, 316.2
0-4, 2020-03-24, 69, 0.8329, 319
0-4, 2020-03-25, -35.7, -0.7056, 264.3
0-4, 2020-03-26, -155.6, -3.0743, 149.4
0-4, 2020-03-27, -332, -6.5585, 115.4
0-4, 2020-03-28, -444.4, -8.7803, 90.6
0-4, 2020-03-29, -263.5, -5.205, 80.3
0-4, 2020-03-30, -248, -4.9001, 68.2
0-4, 2020-03-31, -277, -5.4723, 42
0-4, 2020-04-01, -242.2, -4.7853, 22.1
0-4, 2020-04-02, -111.3, -2.1981, 38.1
0-4, 2020-04-03, -91.7, -1.8121, 23.7
0-4, 2020-04-04, -74, -1.4624, 16.5
0-4, 2020-04-05, -74.4, -1.4703, 5.9
0-4, 2020-04-06, -62.4, -1.2326, 5.8
0-4, 2020-04-07, -29.6, -0.5857, 12.4
0-4, 2020-04-08, -2, -0.0391, 20.1
0-4, 2020-04-09, -36.3, -0.7177, 1.8
0-4, 2020-04-10, -28.7, -0.5673, -5.1
0-4, 2020-04-11, -28.6, -0.5647, -12.1
0-4, 2020-04-12, -11.4, -0.2251, -5.5
