Altersgruppe, Week, difference, trend, value
>=80, 2020-12, , , 11.3
>=80, 2020-13, 3.8, 1.4074, 15.1
>=80, 2020-14, -0.9, -0.3, 14.2
>=80, 2020-15, -3.7, -1.2333, 10.5
>=80, 2020-16, -2.1, -0.7, 8.4
>=80, 2020-17, -2.4, -0.8, 6
>=80, 2020-18, -1.5, -0.5, 4.5
>=80, 2020-19, -1.7, -0.5667, 2.8
>=80, 2020-20, -0.9, -0.3, 1.9
>=80, 2020-21, -0.4, -0.1333, 1.5
>=80, 2020-22, -0.7, -0.2333, 0.8
>=80, 2020-23, -0.3, -0.1, 0.5
>=80, 2020-24, , , 0.5
>=80, 2020-25, -0.2, -0.0667, 0.3
>=80, 2020-26, , , 0.3
>=80, 2020-27, -0.1, -0.0333, 0.2
>=80, 2020-28, , , 0.2
>=80, 2020-29, 0.1, 0.037, 0.3
>=80, 2020-30, , , 0.3
>=80, 2020-31, , , 0.3
>=80, 2020-32, , , 0.3
>=80, 2020-33, , , 0.3
>=80, 2020-34, -0.1, -0.0333, 0.2
>=80, 2020-35, , , 0.2
>=80, 2020-36, 0.1, 0.037, 0.3
>=80, 2020-37, 0.1, 0.037, 0.4
>=80, 2020-38, 0.2, 0.0741, 0.6
>=80, 2020-39, 0.2, 0.0741, 0.8
>=80, 2020-40, 0.1, 0.037, 0.9
>=80, 2020-41, 0.6, 0.2222, 1.5
>=80, 2020-42, 1.1, 0.4074, 2.6
>=80, 2020-43, 2.3, 0.8519, 4.9
>=80, 2020-44, 1.8, 0.6667, 6.7
>=80, 2020-45, 1.8, 0.6667, 8.5
>=80, 2020-46, 1.5, 0.5556, 10
>=80, 2020-47, 1.9, 0.7037, 11.9
>=80, 2020-48, 2, 0.7407, 13.9
>=80, 2020-49, 1.7, 0.6296, 15.6
>=80, 2020-50, 2.4, 0.8889, 18
>=80, 2020-51, 1.4, 0.5185, 19.4
>=80, 2020-52, 2.7, 1, 22.1
>=80, 2020-53, -0.3, -0.1, 21.8
>=80, 2021-01, -3, -1, 18.8
>=80, 2021-02, -2, -0.6667, 16.8
>=80, 2021-03, -1.1, -0.3667, 15.7
>=80, 2021-04, -2, -0.6667, 13.7
>=80, 2021-05, -2.4, -0.8, 11.3
>=80, 2021-06, -2.2, -0.7333, 9.1
>=80, 2021-07, -1.5, -0.5, 7.6
>=80, 2021-08, -1, -0.3333, 6.6
>=80, 2021-09, -1.3, -0.4333, 5.3
>=80, 2021-10, -0.2, -0.0667, 5.1
>=80, 2021-11, 0.2, 0.0741, 5.3
>=80, 2021-12, 0.4, 0.1481, 5.7
>=80, 2021-13, 0.5, 0.1852, 6.2
>=80, 2021-14, -0.3, -0.1, 5.9
>=80, 2021-15, , , 5.9
>=80, 2021-16, -0.1, -0.0333, 5.8
>=80, 2021-17, -0.6, -0.2, 5.2
>=80, 2021-18, -0.7, -0.2333, 4.5
>=80, 2021-19, -0.7, -0.2333, 3.8
>=80, 2021-20, -1.1, -0.3667, 2.7
>=80, 2021-21, -0.6, -0.2, 2.1
>=80, 2021-22, -0.8, -0.2667, 1.3
>=80, 2021-23, -0.5, -0.1667, 0.8
>=80, 2021-24, -0.3, -0.1, 0.5
>=80, 2021-25, -0.1, -0.0333, 0.4
>=80, 2021-26, -0.2, -0.0667, 0.2
>=80, 2021-27, 0.1, 0.037, 0.3
>=80, 2021-28, -0.1, -0.0333, 0.2
>=80, 2021-29, 0.1, 0.037, 0.3
>=80, 2021-30, 0.2, 0.0741, 0.5
>=80, 2021-31, 0.1, 0.037, 0.6
>=80, 2021-32, 0.4, 0.1481, 1
>=80, 2021-33, 0.2, 0.0741, 1.2
