Altersgruppe, Week, difference, trend, value
15-34, 2020-12, , , 7.4
15-34, 2020-13, 0.7, 0.2121, 8.1
15-34, 2020-14, -0.2, -0.0714, 7.9
15-34, 2020-15, -0.8, -0.2857, 7.1
15-34, 2020-16, -1.4, -0.5, 5.7
15-34, 2020-17, -0.9, -0.3214, 4.8
15-34, 2020-18, -1.4, -0.5, 3.4
15-34, 2020-19, -1.1, -0.3929, 2.3
15-34, 2020-20, -0.4, -0.1429, 1.9
15-34, 2020-21, -0.3, -0.1071, 1.6
15-34, 2020-22, -0.3, -0.1071, 1.3
15-34, 2020-23, -0.2, -0.0714, 1.1
15-34, 2020-24, 0.1, 0.0303, 1.2
15-34, 2020-25, 0.1, 0.0303, 1.3
15-34, 2020-26, -0.4, -0.1429, 0.9
15-34, 2020-27, -0.1, -0.0357, 0.8
15-34, 2020-28, , , 0.8
15-34, 2020-29, 0.1, 0.0303, 0.9
15-34, 2020-30, , , 0.9
15-34, 2020-31, 0.3, 0.0909, 1.2
15-34, 2020-32, 0.1, 0.0303, 1.3
15-34, 2020-33, 0.2, 0.0606, 1.5
15-34, 2020-34, -0.2, -0.0714, 1.3
15-34, 2020-35, -0.1, -0.0357, 1.2
15-34, 2020-36, -0.1, -0.0357, 1.1
15-34, 2020-37, 0.1, 0.0303, 1.2
15-34, 2020-38, 0.3, 0.0909, 1.5
15-34, 2020-39, -0.1, -0.0357, 1.4
15-34, 2020-40, 0.4, 0.1212, 1.8
15-34, 2020-41, 0.8, 0.2424, 2.6
15-34, 2020-42, 1.4, 0.4242, 4
15-34, 2020-43, 2.2, 0.6667, 6.2
15-34, 2020-44, 1.4, 0.4242, 7.6
15-34, 2020-45, 0.7, 0.2121, 8.3
15-34, 2020-46, 0.9, 0.2727, 9.2
15-34, 2020-47, 0.2, 0.0606, 9.4
15-34, 2020-48, -0.6, -0.2143, 8.8
15-34, 2020-49, 0.7, 0.2121, 9.5
15-34, 2020-50, 0.9, 0.2727, 10.4
15-34, 2020-51, -0.9, -0.3214, 9.5
15-34, 2020-52, 1.5, 0.4545, 11
15-34, 2020-53, 3.3, 1, 14.3
15-34, 2021-01, -1.8, -0.6429, 12.5
15-34, 2021-02, -2.8, -1, 9.7
15-34, 2021-03, -0.9, -0.3214, 8.8
15-34, 2021-04, -1, -0.3571, 7.8
15-34, 2021-05, -1.1, -0.3929, 6.7
15-34, 2021-06, -0.8, -0.2857, 5.9
15-34, 2021-07, -0.1, -0.0357, 5.8
15-34, 2021-08, 0.7, 0.2121, 6.5
15-34, 2021-09, , , 6.5
15-34, 2021-10, 0.9, 0.2727, 7.4
15-34, 2021-11, 1.4, 0.4242, 8.8
15-34, 2021-12, 1.4, 0.4242, 10.2
15-34, 2021-13, 1.8, 0.5455, 12
15-34, 2021-14, 1.8, 0.5455, 13.8
15-34, 2021-15, 0.2, 0.0606, 14
15-34, 2021-16, 0.1, 0.0303, 14.1
15-34, 2021-17, -1.5, -0.5357, 12.6
15-34, 2021-18, -1.2, -0.4286, 11.4
15-34, 2021-19, -1, -0.3571, 10.4
15-34, 2021-20, -2.8, -1, 7.6
15-34, 2021-21, -1.9, -0.6786, 5.7
15-34, 2021-22, -1.4, -0.5, 4.3
15-34, 2021-23, -1, -0.3571, 3.3
15-34, 2021-24, -1.2, -0.4286, 2.1
15-34, 2021-25, -0.6, -0.2143, 1.5
15-34, 2021-26, -0.2, -0.0714, 1.3
15-34, 2021-27, 0.5, 0.1515, 1.8
15-34, 2021-28, 1, 0.303, 2.8
15-34, 2021-29, 0.9, 0.2727, 3.7
15-34, 2021-30, 1.2, 0.3636, 4.9
15-34, 2021-31, 1.5, 0.4545, 6.4
15-34, 2021-32, 3, 0.9091, 9.4
15-34, 2021-33, 2.7, 0.8182, 12.1
