Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-06-26, 2.1, -0.9444, -0.0127
>=80, 2020-06-27, 2.1, -0.6746, -0.0091
>=80, 2020-06-28, 1.9, -0.624, -0.0084
>=80, 2020-06-29, 1.9, -0.5059, -0.0068
>=80, 2020-06-30, 1.9, -0.5059, -0.0068
>=80, 2020-07-01, 1.9, -0.3036, -0.0041
>=80, 2020-07-02, 1.9, 0.1518, 0.0023
>=80, 2020-07-03, 1.7, -0.1012, -0.0014
>=80, 2020-07-04, 1.6, -0.3373, -0.0045
>=80, 2020-07-05, 1.7, -0.1518, -0.002
>=80, 2020-07-06, 1.7, -0.1855, -0.0025
>=80, 2020-07-07, 1.6, -0.2361, -0.0032
>=80, 2020-07-08, 1.5, -0.2698, -0.0036
>=80, 2020-07-09, 1.4, -0.5902, -0.0079
>=80, 2020-07-10, 1.4, -0.3541, -0.0048
>=80, 2020-07-11, 1.3, -0.2361, -0.0032
>=80, 2020-07-12, 1.2, -0.4722, -0.0064
>=80, 2020-07-13, 1.2, -0.3879, -0.0052
>=80, 2020-07-14, 1.2, -0.3204, -0.0043
>=80, 2020-07-15, 1.1, -0.3204, -0.0043
>=80, 2020-07-16, 1.1, -0.1686, -0.0023
>=80, 2020-07-17, 1.3, , 
>=80, 2020-07-18, 1.3, 0.0506, 0.0008
>=80, 2020-07-19, 1.4, 0.2698, 0.0042
>=80, 2020-07-20, 1.5, 0.2698, 0.0042
>=80, 2020-07-21, 1.6, 0.3036, 0.0047
>=80, 2020-07-22, 1.6, 0.3204, 0.0049
>=80, 2020-07-23, 1.7, 0.3204, 0.0049
>=80, 2020-07-24, 1.7, 0.253, 0.0039
>=80, 2020-07-25, 1.8, 0.4216, 0.0065
>=80, 2020-07-26, 1.8, 0.3204, 0.0049
>=80, 2020-07-27, 1.7, 0.1349, 0.0021
>=80, 2020-07-28, 2, 0.2867, 0.0044
>=80, 2020-07-29, 2.2, 0.5396, 0.0083
