Altersgruppe, Week, difference, trend, value
0-4, 2020-12, , , 2
0-4, 2020-13, 1, 0.4348, 3
0-4, 2020-14, 1.5, 0.6522, 4.5
0-4, 2020-15, -0.4, -0.2105, 4.1
0-4, 2020-16, -1, -0.5263, 3.1
0-4, 2020-17, -0.8, -0.4211, 2.3
0-4, 2020-18, -1, -0.5263, 1.3
0-4, 2020-19, -0.3, -0.1579, 1
0-4, 2020-20, 0.1, 0.0435, 1.1
0-4, 2020-21, , , 1.1
0-4, 2020-22, -0.2, -0.1053, 0.9
0-4, 2020-23, 0.2, 0.087, 1.1
0-4, 2020-24, -0.4, -0.2105, 0.7
0-4, 2020-25, 0.1, 0.0435, 0.8
0-4, 2020-26, -0.2, -0.1053, 0.6
0-4, 2020-27, -0.2, -0.1053, 0.4
0-4, 2020-28, , , 0.4
0-4, 2020-29, -0.1, -0.0526, 0.3
0-4, 2020-30, 0.2, 0.087, 0.5
0-4, 2020-31, 0.1, 0.0435, 0.6
0-4, 2020-32, 0.1, 0.0435, 0.7
0-4, 2020-33, 0.3, 0.1304, 1
0-4, 2020-34, -0.1, -0.0526, 0.9
0-4, 2020-35, -0.4, -0.2105, 0.5
0-4, 2020-36, , , 0.5
0-4, 2020-37, 0.3, 0.1304, 0.8
0-4, 2020-38, 0.1, 0.0435, 0.9
0-4, 2020-39, -0.1, -0.0526, 0.8
0-4, 2020-40, 0.3, 0.1304, 1.1
0-4, 2020-41, 0.7, 0.3043, 1.8
0-4, 2020-42, 0.5, 0.2174, 2.3
0-4, 2020-43, 1.2, 0.5217, 3.5
0-4, 2020-44, 0.4, 0.1739, 3.9
0-4, 2020-45, 0.1, 0.0435, 4
0-4, 2020-46, 0.6, 0.2609, 4.6
0-4, 2020-47, 0.1, 0.0435, 4.7
0-4, 2020-48, 0.1, 0.0435, 4.8
0-4, 2020-49, 0.2, 0.087, 5
0-4, 2020-50, 1.2, 0.5217, 6.2
0-4, 2020-51, -0.2, -0.1053, 6
0-4, 2020-52, 0.3, 0.1304, 6.3
0-4, 2020-53, 2.3, 1, 8.6
0-4, 2021-01, 1.1, 0.4783, 9.7
0-4, 2021-02, -1.7, -0.8947, 8
0-4, 2021-03, -1.2, -0.6316, 6.8
0-4, 2021-04, -0.3, -0.1579, 6.5
0-4, 2021-05, 0.3, 0.1304, 6.8
0-4, 2021-06, -0.3, -0.1579, 6.5
0-4, 2021-07, -0.8, -0.4211, 5.7
0-4, 2021-08, 1, 0.4348, 6.7
0-4, 2021-09, -0.6, -0.3158, 6.1
0-4, 2021-10, -0.7, -0.3684, 5.4
0-4, 2021-11, -0.1, -0.0526, 5.3
0-4, 2021-12, 1.6, 0.6957, 6.9
0-4, 2021-13, 0.4, 0.1739, 7.3
0-4, 2021-14, 2.1, 0.913, 9.4
0-4, 2021-15, -0.3, -0.1579, 9.1
0-4, 2021-16, -0.4, -0.2105, 8.7
0-4, 2021-17, -0.8, -0.4211, 7.9
0-4, 2021-18, 0.3, 0.1304, 8.2
0-4, 2021-19, 0.1, 0.0435, 8.3
0-4, 2021-20, -1.5, -0.7895, 6.8
0-4, 2021-21, -1.6, -0.8421, 5.2
0-4, 2021-22, -1.7, -0.8947, 3.5
0-4, 2021-23, -1.1, -0.5789, 2.4
0-4, 2021-24, -0.7, -0.3684, 1.7
0-4, 2021-25, -0.8, -0.4211, 0.9
0-4, 2021-26, -0.3, -0.1579, 0.6
0-4, 2021-27, , , 0.6
0-4, 2021-28, 0.3, 0.1304, 0.9
0-4, 2021-29, 0.2, 0.087, 1.1
0-4, 2021-30, 1.1, 0.4783, 2.2
0-4, 2021-31, 1.6, 0.6957, 3.8
0-4, 2021-32, 1.9, 0.8261, 5.7
0-4, 2021-33, 1.6, 0.6957, 7.3
0-4, 2021-34, 1.4, 0.6087, 8.7
0-4, 2021-35, , , 8.7
0-4, 2021-36, -1.9, -1, 6.8
