Altersgruppe, Meldedatum, difference, trend, value
5-14, 2020-03-05, , , 
5-14, 2020-03-06, , , 1400
5-14, 2020-03-07, , , 2000
5-14, 2020-03-08, , , 1100
5-14, 2020-03-09, , , 1350
5-14, 2020-03-10, , , 1950
5-14, 2020-03-11, , , 600
5-14, 2020-03-12, 618.2, 6.8524, 618.2
5-14, 2020-03-13, -920, -11.2821, 480
5-14, 2020-03-14, -1542.9, -18.9203, 457.1
5-14, 2020-03-15, -595.8, -7.3068, 504.2
5-14, 2020-03-16, -905.2, -11.1003, 444.8
5-14, 2020-03-17, -1593.9, -19.5463, 356.1
5-14, 2020-03-18, -269.6, -3.3067, 330.4
5-14, 2020-03-19, -371.3, -4.5539, 246.8
5-14, 2020-03-20, -213.3, -2.6161, 266.7
5-14, 2020-03-21, -239.2, -2.9333, 217.9
5-14, 2020-03-22, -324.9, -3.9838, 179.3
5-14, 2020-03-23, -277.1, -3.3982, 167.7
5-14, 2020-03-24, -213.9, -2.6225, 142.2
5-14, 2020-03-25, -237.8, -2.9165, 92.5
5-14, 2020-03-26, -158.5, -1.9439, 88.3
5-14, 2020-03-27, -192.1, -2.3552, 74.6
5-14, 2020-03-28, -162.6, -1.9936, 55.4
5-14, 2020-03-29, -128.2, -1.5721, 51.1
5-14, 2020-03-30, -119.3, -1.4625, 48.5
5-14, 2020-03-31, -105.6, -1.295, 36.6
5-14, 2020-04-01, -47.9, -0.5876, 44.6
5-14, 2020-04-02, -53.6, -0.6577, 34.7
5-14, 2020-04-03, -46.4, -0.5693, 28.2
5-14, 2020-04-04, -29.3, -0.3587, 26.1
5-14, 2020-04-05, -31.8, -0.3903, 19.3
5-14, 2020-04-06, -33.7, -0.4127, 14.8
5-14, 2020-04-07, -19.8, -0.2433, 16.8
5-14, 2020-04-08, -41.8, -0.5124, 2.8
5-14, 2020-04-09, -39.6, -0.4854, -4.9
5-14, 2020-04-10, -39.3, -0.4813, -11.1
5-14, 2020-04-11, -47.1, -0.5777, -21
5-14, 2020-04-12, -43.8, -0.5371, -24.5
5-14, 2020-04-13, -39.9, -0.4895, -25.1
5-14, 2020-04-14, -46.4, -0.569, -29.6
5-14, 2020-04-15, -36.2, -0.4435, -33.3
5-14, 2020-04-16, -31.4, -0.3853, -36.3
5-14, 2020-04-17, -24.8, -0.3046, -35.9
5-14, 2020-04-18, -5.4, -0.0662, -26.4
5-14, 2020-04-19, -2.2, -0.0265, -26.7
5-14, 2020-04-20, -1.4, -0.0169, -26.5
5-14, 2020-04-21, 7.4, 0.082, -22.2
5-14, 2020-04-22, 23.3, 0.2586, -10
5-14, 2020-04-23, 33, 0.3656, -3.3
5-14, 2020-04-24, 33.7, 0.3735, -2.2
5-14, 2020-04-25, 15.1, 0.167, -11.3
5-14, 2020-04-26, 14.6, 0.1613, -12.1
5-14, 2020-04-27, 12.6, 0.14, -13.9
5-14, 2020-04-28, 10.6, 0.1173, -11.6
5-14, 2020-04-29, -13.7, -0.1677, -23.7
5-14, 2020-04-30, -22.2, -0.2726, -25.6
5-14, 2020-05-01, -27.9, -0.3426, -30.2
5-14, 2020-05-02, -21.9, -0.2689, -33.2
5-14, 2020-05-03, -16.6, -0.2036, -28.7
5-14, 2020-05-04, -11.3, -0.1385, -25.1
5-14, 2020-05-05, -20.4, -0.25, -32
5-14, 2020-05-06, -1.3, -0.0163, -25
5-14, 2020-05-07, 2.1, 0.0235, -23.4
5-14, 2020-05-08, 14, 0.1548, -16.2
5-14, 2020-05-09, 32.4, 0.3597, -0.8
5-14, 2020-05-10, 20.8, 0.2309, -7.9
5-14, 2020-05-11, 15.4, 0.1705, -9.8
5-14, 2020-05-12, 33.7, 0.3733, 1.7
5-14, 2020-05-13, 28, 0.3099, 3
5-14, 2020-05-14, 24.7, 0.2741, 1.3
5-14, 2020-05-15, 12.8, 0.1414, -3.4
5-14, 2020-05-16, -13.7, -0.1675, -14.5
5-14, 2020-05-17, 1, 0.0115, -6.9
5-14, 2020-05-18, 8.9, 0.0987, -0.9
5-14, 2020-05-19, -7.1, -0.0865, -5.4
5-14, 2020-05-20, -16.1, -0.197, -13.1
5-14, 2020-05-21, -5.1, -0.0628, -3.8
5-14, 2020-05-22, 2.1, 0.0233, -1.3
5-14, 2020-05-23, 13.5, 0.1499, -0.9
5-14, 2020-05-24, 1.3, 0.0148, -5.5
5-14, 2020-05-25, -17.9, -0.2197, -18.8
5-14, 2020-05-26, -17.8, -0.2179, -23.1
5-14, 2020-05-27, 6.5, 0.0722, -6.6
5-14, 2020-05-28, -13.9, -0.1701, -17.7
5-14, 2020-05-29, -13.5, -0.1659, -14.9
5-14, 2020-05-30, -3.8, -0.0466, -4.7
5-14, 2020-05-31, 13.3, 0.1478, 7.8
5-14, 2020-06-01, 43.5, 0.4823, 24.7
5-14, 2020-06-02, 48.7, 0.54, 25.6
5-14, 2020-06-03, 6.6, 0.0732, 
5-14, 2020-06-04, 23.6, 0.2617, 5.9
5-14, 2020-06-05, 33.9, 0.3759, 19
5-14, 2020-06-06, 14.2, 0.1573, 9.5
5-14, 2020-06-07, -15, -0.1845, -7.2
5-14, 2020-06-08, -37.2, -0.4566, -12.5
5-14, 2020-06-09, -25.6, -0.3135, 
5-14, 2020-06-10, 17.2, 0.1903, 17.2
5-14, 2020-06-11, 19.5, 0.2158, 25.4
5-14, 2020-06-12, -19.5, -0.239, -0.4
5-14, 2020-06-13, -6.7, -0.0825, 2.7
5-14, 2020-06-14, 28.7, 0.3182, 21.5
5-14, 2020-06-15, 31.7, 0.3515, 19.2
5-14, 2020-06-16, 3.6, 0.0401, 3.6
5-14, 2020-06-17, -11.6, -0.1419, 5.6
5-14, 2020-06-18, -20.5, -0.2517, 4.9
5-14, 2020-06-19, 31.2, 0.3464, 30.8
5-14, 2020-06-20, 53, 0.5878, 55.8
5-14, 2020-06-21, 21.9, 0.2429, 43.4
5-14, 2020-06-22, 33.3, 0.3688, 52.5
5-14, 2020-06-23, 70.6, 0.7828, 74.2
5-14, 2020-06-24, 55.6, 0.6165, 61.2
5-14, 2020-06-25, 37.2, 0.4126, 42.1
5-14, 2020-06-26, -15.8, -0.1936, 15
5-14, 2020-06-27, -68.5, -0.8405, -12.8
5-14, 2020-06-28, -64.9, -0.7964, -21.6
5-14, 2020-06-29, -75.5, -0.926, -23
5-14, 2020-06-30, -106.1, -1.3007, -31.8
5-14, 2020-07-01, -94.4, -1.1575, -33.2
5-14, 2020-07-02, -67.4, -0.826, -25.3
5-14, 2020-07-03, -37, -0.4534, -22
5-14, 2020-07-04, -10.7, -0.1308, -23.5
5-14, 2020-07-05, 4.8, 0.053, -16.8
5-14, 2020-07-06, 3, 0.0329, -20.1
5-14, 2020-07-07, 17.1, 0.1898, -14.7
5-14, 2020-07-08, 20.3, 0.2249, -12.9
5-14, 2020-07-09, 7.5, 0.0826, -17.8
5-14, 2020-07-10, 7.5, 0.0832, -14.4
5-14, 2020-07-11, 17.9, 0.1986, -5.5
5-14, 2020-07-12, 12.1, 0.1337, -4.7
5-14, 2020-07-13, 16.1, 0.1785, -4
5-14, 2020-07-14, 0.5, 0.0053, -14.2
5-14, 2020-07-15, 8.5, 0.0946, -4.3
5-14, 2020-07-16, 18.3, 0.2024, 0.4
5-14, 2020-07-17, 21.6, 0.239, 7.1
5-14, 2020-07-18, 20.4, 0.2261, 14.9
5-14, 2020-07-19, 27.2, 0.302, 22.5
5-14, 2020-07-20, 33.8, 0.3745, 29.8
5-14, 2020-07-21, 63.5, 0.7036, 49.2
5-14, 2020-07-22, 29.8, 0.3304, 25.5
5-14, 2020-07-23, 26.9, 0.2979, 27.3
5-14, 2020-07-24, 27.3, 0.3029, 34.4
